"Energy","TotalSugar","Flavour"
606,37.3,"Citrus-Blackcurrant"
659,40.2,"Citrus-Blackcurrant"
606,37.3,"Other"
608,37.3,"Other"
608,37.3,"Other"
923,57,"Citrus-Blackcurrant"
606,37.3,"Other"
859,52.4,"Other"
740,46.2,"Other"
648,39.6,"Citrus-Blackcurrant"
679,40.9,"Citrus-Blackcurrant"
648,39.6,"Citrus-Blackcurrant"
28,1.2,"Citrus-Blackcurrant"
28,1.2,"Other"
187,11,"Citrus-Blackcurrant"
28,1.2,"Other"
28,1.2,"Citrus-Blackcurrant"
23,1.2,"Citrus-Blackcurrant"
28,1.2,"Citrus-Blackcurrant"
142,8.7,"Citrus-Blackcurrant"
154,9.4,"Citrus-Blackcurrant"
142,8.7,"Other"
142,8.7,"Other"
175,10.7,"Other"
142,8.7,"Other"
104,6.4,"Other"
229,14.1,"Citrus-Blackcurrant"
191,11.8,"Citrus-Blackcurrant"
146,9,"Citrus-Blackcurrant"
174,10.7,"Other"
142,8.7,"Other"
103,6.4,"Other"
201,12.3,"Other"
152,9.3,"Citrus-Blackcurrant"
111,6.8,"Citrus-Blackcurrant"
196,11.8,"Citrus-Blackcurrant"
159,9.6,"Citrus-Blackcurrant"
116,7,"Citrus-Blackcurrant"
187,11.4,"Citrus-Blackcurrant"
152,9.3,"Citrus-Blackcurrant"
111,6.8,"Citrus-Blackcurrant"
6,0.2,"Other"
32,1.9,"Citrus-Blackcurrant"
6,0.2,"Citrus-Blackcurrant"
6,0.2,"Other"
6,0.2,"Citrus-Blackcurrant"
5,0.2,"Citrus-Blackcurrant"
6,0.2,"Citrus-Blackcurrant"
143,8.9,"Other"
177,9.5,"Other"
178,10.9,"Other"
162,9.8,"Other"
194,11.9,"Other"
149,9.2,"Citrus-Blackcurrant"
183,10.9,"Other"
216,12.9,"Other"
178,9.7,"Citrus-Blackcurrant"
200,12.1,"Other"
196,12.1,"Citrus-Blackcurrant"
190,11,"Other"
193,10.6,"Citrus-Blackcurrant"
192,10.9,"Other"
176,10.4,"Citrus-Blackcurrant"
176,10.4,"Citrus-Blackcurrant"
176,10.4,"Citrus-Blackcurrant"
176,10.4,"Citrus-Blackcurrant"
186,11.1,"Citrus-Blackcurrant"
192,11.6,"Other"
148,9,"Other"
